Species	sample	counts
Rhodococcus_qingshengii	SRR10318475	NA
Rhodococcus_qingshengii	SRR10318476	NA
Rhodococcus_qingshengii	SRR10318495	NA
Rhodococcus_qingshengii	SRR10318496	NA
Rhodococcus_qingshengii	SRR10318497	NA
Rhodococcus_qingshengii	SRR10318498	NA
Rhodococcus_qingshengii	SRR10318499	NA
Rhodococcus_qingshengii	SRR10318500	NA
Rhodococcus_qingshengii	SRR10318501	NA
Rhodococcus_qingshengii	SRR10318502	NA
Rhodococcus_qingshengii	SRR10318503	NA
Rhodococcus_qingshengii	SRR10318504	NA
Rhodococcus_qingshengii	SRR10318505	NA
Rhodococcus_qingshengii	SRR10318506	NA
Rhodococcus_qingshengii	SRR10318507	NA
Rhodococcus_qingshengii	SRR10318508	NA
Rhodococcus_qingshengii	SRR10318509	NA
Rhodococcus_qingshengii	SRR10318510	NA
Rhodococcus_qingshengii	SRR10318511	NA
Rhodococcus_qingshengii	SRR10318512	NA
Rhodococcus_qingshengii	SRR10318513	NA
Rhodococcus_qingshengii	SRR10318514	NA
Rhodococcus_qingshengii	SRR10318515	NA
Rhodococcus_qingshengii	SRR10318516	NA
Rhodococcus_qingshengii	SRR10318517	NA
Rhodococcus_qingshengii	SRR10318518	NA
Rhodococcus_qingshengii	SRR10318519	NA
Rhodococcus_qingshengii	SRR10318520	NA
Rhodococcus_qingshengii	SRR10318521	NA
Rhodococcus_qingshengii	SRR10318522	NA
Rhodococcus_qingshengii	SRR10318523	NA
Rhodococcus_qingshengii	SRR10318524	NA
Rhodococcus_qingshengii	SRR10318525	NA
Rhodococcus_qingshengii	SRR10318526	NA
Rhodococcus_qingshengii	SRR10318527	NA
Rhodococcus_qingshengii	SRR10318528	NA
Rhodococcus_qingshengii	SRR10318529	NA
Rhodococcus_qingshengii	SRR10318530	NA
Rhodococcus_qingshengii	SRR10318531	NA
Rhodococcus_qingshengii	SRR10318532	NA
Rhodococcus_qingshengii	SRR10318533	NA
Rhodococcus_qingshengii	SRR10318534	NA
Rhodococcus_qingshengii	SRR10318535	NA
Rhodococcus_qingshengii	SRR10318536	NA
Rhodococcus_qingshengii	SRR10318537	NA
Rhodococcus_qingshengii	SRR10318538	NA
Rhodococcus_qingshengii	SRR10318539	NA
Rhodococcus_qingshengii	SRR10318540	NA
Rhodococcus_qingshengii	SRR10318541	NA
Rhodococcus_qingshengii	SRR10318542	NA
Rhodococcus_qingshengii	SRR10318543	NA
Rhodococcus_qingshengii	SRR10318544	NA
Rhodococcus_qingshengii	SRR10318545	NA
Rhodococcus_qingshengii	SRR10318546	NA
Rhodococcus_qingshengii	SRR10318547	NA
Rhodococcus_qingshengii	SRR10318548	NA
Rhodococcus_qingshengii	SRR10318549	NA
Rhodococcus_qingshengii	SRR10318568	NA
Rhodococcus_qingshengii	SRR10318569	NA
Rhodococcus_qingshengii	SRR10318570	NA
Rhodococcus_qingshengii	SRR10318571	NA
Rhodococcus_qingshengii	SRR10318572	NA
Rhodococcus_qingshengii	SRR10318573	NA
Rhodococcus_qingshengii	SRR10318574	NA
Rhodococcus_qingshengii	SRR10318575	NA
Rhodococcus_qingshengii	SRR10318576	NA
Rhodococcus_qingshengii	SRR10318577	NA
Rhodococcus_qingshengii	SRR10318578	NA
Rhodococcus_qingshengii	SRR10318579	NA
Rhodococcus_qingshengii	SRR10318580	NA
Rhodococcus_qingshengii	SRR10318581	NA
Rhodococcus_qingshengii	SRR10875803	0
Rhodococcus_qingshengii	SRR10875804	0
Rhodococcus_qingshengii	SRR10875805	0
Rhodococcus_qingshengii	SRR10875806	0
Rhodococcus_qingshengii	SRR10875807	0
Rhodococcus_qingshengii	SRR10875808	0
Rhodococcus_qingshengii	SRR10875809	0
Rhodococcus_qingshengii	SRR10875810	0
Rhodococcus_qingshengii	SRR10875812	0
Rhodococcus_qingshengii	SRR10875813	0
Rhodococcus_qingshengii	SRR10875814	0
Rhodococcus_qingshengii	SRR10875815	0
Rhodococcus_qingshengii	SRR10875816	0
Rhodococcus_qingshengii	SRR10875817	0
